nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000489	Christopher Lee	1922	2015	actor,soundtrack,miscellaneous	tt0121765,tt0167261,tt0120737,tt0070917
nm0000490	Spike Lee	1957	null	director,producer,writer	tt0091939,tt0104797,tt0097216,tt9777644
nm0000491	John Leguizamo	1960	null	actor,writer,producer	tt0203009,tt0162677,tt0120177,tt0117509
nm0000492	Jennifer Jason Leigh	1962	null	actress,producer,soundtrack	tt0108122,tt3460252,tt0109642,tt0105414
nm0000493	Jack Lemmon	1925	2001	actor,soundtrack,producer	tt0104348,tt0053291,tt0107050,tt0053604
nm0000494	Robert Sean Leonard	1969	null	actor,soundtrack	tt0412142,tt0107616,tt0106226,tt0097165
nm0000495	Téa Leoni	1966	null	actress,producer	tt0163025,tt0218967,tt0120647,tt0371246
nm0000496	Juliette Lewis	1973	null	actress,soundtrack,director	tt0116367,tt1322269,tt0101540,tt0110632
nm0000497	Jennifer Lien	1974	null	actress,producer,miscellaneous	tt0120586,tt0106100,tt0112178,tt0133189
nm0000498	Matthew Lillard	1970	null	actor,producer,soundtrack	tt1033575,tt0133189,tt0331632,tt0267913
nm0000499	Bai Ling	null	null	actress,producer,writer	tt0405336,tt0119994,tt1121931,tt0109506
nm0000500	Richard Linklater	1960	null	producer,director,writer	tt1065073,tt0405296,tt0243017,tt2209418
nm0000501	Ray Liotta	1954	2022	actor,producer,soundtrack	tt0091983,tt0099685,tt0272207,tt0365686
nm0000502	Christopher Lloyd	1938	null	actor,soundtrack,producer	tt0101272,tt0096438,tt0106220,tt0088763
nm0000503	Emily Lloyd	1970	null	actress	tt0094331,tt0105265,tt0120490,tt0310952
nm0000504	Amy Locane	1971	null	actress,soundtrack	tt0274812,tt0099329,tt0103491,tt0105327
nm0000505	Nia Long	1970	null	actress,soundtrack,director	tt2083355,tt0181984,tt0168501,tt0208003
